"Clearance Rate","Colors","Distance Covered In Possession","Distance Covered Not In Possession","Distance Covered","Location","Name","Team","Top Speed","% Passes Completed","Assists","Attempted Clearances","Attempts In The Area","Attempts Off-Target","Attempts On Target","Attempts On-Target From Inside The Area","Attempts On-Target From Outside The Area","Attempts Outside The Area"
"","","","","","Algeria","Cedric SI MOHAMMED","Algeria","","","","","","","","","",""
"","","","","","Algeria","Liassine CADAMURO","Algeria","","","","","","","","","",""
"","","","","","Algeria","Mohamed ZEMMAMOUCHE","Algeria","","","","","","","","","",""
"","","2.1km","4.2km","8.7km","Algeria","Riyad MAHREZ","Algeria","23.9km/h","0.55","","","1","1","0","0","0","0"
"-","","5.0km","10.0km","20.6km","Algeria","Saphir TAIDER","Algeria","25.7km/h","0.74","","0","","","","","",""
"-","Group Stage","4.3km","8.2km","18.0km","Algeria","Medhi LACEN","Algeria","26.6km/h","0.76","","0","","","","","",""
"-","Group Stage","6.8km","6.9km","18.7km","Algeria","Abdelmoumene DJABOU","Algeria","28.1km/h","0.59","1","0","3","1","3","3","0","1"
"-","","0.8km","1.5km","3.1km","Algeria","Hassan YEBDA","Algeria","29.8km/h","0.45","","0","","","","","",""
"-","Group Stage","8.7km","9.0km","24.6km","Algeria","Yacine BRAHIMI","Algeria","30.2km/h","0.73","1","0","2","1","4","1","3","3"
"0.5","","5.1km","10.0km","21.7km","Algeria","Mehdi MOSTEFA","Algeria","28.3km/h","0.6","","4","1","1","1","0","1","1"
"0.67","Knockout Round","10.8km","13.7km","35.9km","Algeria","Islam SLIMANI","Algeria","30.0km/h","0.63","1","3","7","2","7","5","2","2"
"0.67","Group Stage","10.7km","14.4km","34.3km","Algeria","Nabil BENTALEB","Algeria","31.0km/h","0.81","","3","1","1","1","1","0","1"
"0.75","Group Stage","6.3km","9.8km","22.6km","Algeria","Esseid BELKALEM","Algeria","27.0km/h","0.63","","12","1","1","0","0","0","0"
"0.75","","7.2km","8.3km","21.3km","Algeria","Djamel MESBAH","Algeria","31.8km/h","0.8","","4","0","0","1","0","1","1"
"0.8","Knockout Round","11.3km","16.6km","40.1km","Algeria","Rafik HALLICHE","Algeria","27.0km/h","0.75","0","20","2","0","2","2","0","0"
"0.84","Group Stage","9.5km","14.1km","32.6km","Algeria","Carl MEDJANI","Algeria","27.2km/h","0.69","","6","2","2","0","0","0","0"
"1","Knockout Round","3.5km","4.9km","12.4km","Algeria","Rais MBOLHI","Algeria","22.0km/h","0.42","","6","","","","","",""
"1","Group Stage","9.4km","13.7km","32.4km","Algeria","Aissa MANDI","Algeria","27.8km/h","0.72","","6","","","","","",""
"1","Group Stage","4.4km","8.2km","19.0km","Algeria","El Arabi SOUDANI","Algeria","28.3km/h","0.5","","1","","","","","",""
"1","Group Stage","6.8km","9.6km","23.4km","Algeria","Madjid BOUGUERRA","Algeria","29.1km/h","0.79","","6","1","0","1","1","0","0"
"1","Group Stage","1.3km","2.2km","5.6km","Algeria","Nabil GHILAS","Algeria","29.4km/h","0.67","","3","1","1","0","0","0","0"
"1","","5.6km","9.9km","21.7km","Algeria","Faouzi GHOULAM","Algeria","30.5km/h","0.66","","6","1","1","0","0","0","0"
"1","Knockout Round","13.4km","18.3km","45.3km","Algeria","Sofiane FEGHOULI","Algeria","31.1km/h","0.62","2","2","3","3","2","2","0","2"
"","","","","","Argentina","Agustin ORION","Argentina","","","","","","","","","",""
"","","","","","Argentina","Augusto FERNANDEZ","Argentina","","","","","","","","","",""
"","","","","","Argentina","Mariano ANDUJAR","Argentina","","","","","","","","","",""
"","","2.0km","2.0km","5.1km","Argentina","Hugo CAMPAGNARO","Argentina","23.3km/h","0.94","","","","","","","",""
"","","1.3km","1.4km","3.7km","Argentina","Ricardo ALVAREZ","Argentina","30.9km/h","0.85","","","","","","","",""
"-","","2.9km","3.1km","7.6km","Argentina","Maxi RODRIGUEZ","Argentina","25.0km/h","0.84","","0","1","1","1","1","0","1"
"-","Top 4","26.0km","18.8km","62.7km","Argentina","Lionel MESSI","Argentina","30.3km/h","0.68","1","0","7","12","10","3","7","15"
"-","Quarter Finals","13.1km","10.3km","32.0km","Argentina","Sergio AGUERO","Argentina","31.1km/h","0.52","","0","7","3","4","4","0","0"
"-","Group Stage","8.9km","10.6km","26.0km","Argentina","Enzo PEREZ","Argentina","31.2km/h","0.8","","0","0","1","0","0","0","1"
"0.5","Top 4","25.1km","19.2km","63.6km","Argentina","Gonzalo HIGUAIN","Argentina","33.1km/h","0.75","1","4","11","7","6","6","0","2"
"0.78","Knockout Round","16.0km","12.9km","41.2km","Argentina","Federico FERNANDEZ","Argentina","28.7km/h","0.87","","9","3","1","2","2","0","0"
"0.8","","4.5km","4.0km","13.0km","Argentina","Jose Maria BASANTA","Argentina","32.7km/h","0.75","","5","","","","","",""
"0.84","Semi Finals","27.9km","25.5km","72.7km","Argentina","Marcos ROJO","Argentina","31.8km/h","0.72","0","12","5","4","4","3","1","3"
"0.86","Top 4","8.3km","8.2km","24.6km","Argentina","Sergio ROMERO","Argentina","28.8km/h","0.65","","7","","","","","",""
"0.86","Top 4","26.2km","27.6km","76.1km","Argentina","Ezequiel GARAY","Argentina","31.4km/h","0.87","","21","4","4","1","1","0","1"
